model,model_role,model_description,group,label,metric,estimate,ci_low,ci_high,unit,small_sample_warning
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,hba1c_pos,ppv,0.2094217467,0.154085075,0.2742048466,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,hba1c_pos,ppv,0.2582338576,0.2104641373,0.3292439925,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,hba1c_pos,ppv,0.225610092,0.1855305839,0.2612244942,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,hba1c_pos,ppv,0.1427810466,0.1154771391,0.170274025,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,hba1c_pos,ppv,0.190164775,0.1431865238,0.2435291854,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,hba1c_pos,ppv,0.2100373315,0.1262720312,0.3049765752,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed,sensitivity,0.8347790398,0.7796625378,0.8923652992,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,diagnosed,sensitivity,0.6617629612,0.5316978387,0.8033725001,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,diagnosed,sensitivity,0.8789397836,0.7968878835,0.9593686617,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,diagnosed,sensitivity,0.7613542349,0.6657066571,0.8659023723,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,diagnosed,sensitivity,0.8718814139,0.7966566704,0.9655795848,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,diagnosed,sensitivity,0.8449487008,0.7364611007,1,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,diagnosed,sensitivity,0.8777868668,0.7517358117,0.9409666806,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,hba1c_pos,sensitivity,0.8516680819,0.8017055473,0.9022472913,proportion,OK
