model,label,group,respondents,positives,negatives,effective_n_positives,effective_n_negatives,small_n_warning,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high
demographic_logistic,diagnosed,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.8718814138542286,0.7966566703720028,0.9655795848404409,0.531384648920846,0.4931320467118786,0.5693845569384066,0.14285303909528707,0.11478188835751302,0.1703306707719606,0.9788831872615505,0.9653053773340092,0.9946087726087606
demographic_logistic,diagnosed,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.761354234886697,0.665706657087299,0.8659023722599193,0.658921975893583,0.638847608728777,0.6793568109659971,0.22462106848364308,0.17930140788428459,0.26351440565173456,0.9551662840148187,0.9374912519609231,0.9756381970231248
demographic_logistic,diagnosed,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.6617629611868069,0.5316978387006814,0.8033725001275774,0.7567724000106426,0.6918174997279544,0.814143232379619,0.20607633484270718,0.1524983972697554,0.2720067221218141,0.95912721143853,0.9398918363039949,0.9784795086549186
demographic_logistic,diagnosed,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.8449487007569758,0.7364611007392341,1.0,0.6737883119484345,0.6339519447454579,0.7143061052615564,0.1850385001691312,0.13897119795249335,0.23852072956190717,0.9802414007881068,0.961444207537988,1.0
demographic_logistic,diagnosed,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.8789397835792861,0.7968878835035613,0.9593686617087024,0.6731666410322557,0.6190582534929133,0.7336792885101298,0.25936187483503714,0.21017322430320104,0.33686860089870085,0.9771438433121256,0.9626021440203487,0.9925050319681534
demographic_logistic,diagnosed,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.8777868668326481,0.7517358116932619,0.9409666806093018,0.6559137255950619,0.5856508636329881,0.7554703703530434,0.21184558727446817,0.12372643410552314,0.31368488960651136,0.9807849962318341,0.9708233109729223,0.989729199173495
demographic_logistic,diagnosed,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.834779039767245,0.7796625377853406,0.8923652991683934,0.591467130860994,0.5688702360221275,0.6167237550781952,0.1658383384423555,0.14732116887187083,0.18413843145776693,0.9735633926131525,0.965446221488789,0.9826392146353384
demographic_logistic,hba1c_pos,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.8891123692631911,0.8227190156880956,0.9662267178958289,0.5219339957906188,0.48650511205691876,0.5607361254494285,0.14278104657897778,0.11547713907598807,0.1702740249657265,0.9813302297181348,0.9698438060037985,0.995071238557454
demographic_logistic,hba1c_pos,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.7819240181638263,0.6826126773727317,0.88456201894764,0.651691838561365,0.6312447874230743,0.6737017013747989,0.2256100920435863,0.18553058388615973,0.2612244942105643,0.9583814550336254,0.9379999763730915,0.9793641496493247
demographic_logistic,hba1c_pos,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.6720888218732031,0.5480409812437825,0.8096655427594819,0.7580088873581408,0.699673302412091,0.8070545326923315,0.20942174667226343,0.15408507496367502,0.2742048465611167,0.9603770342212032,0.9401186504189384,0.9790888258222755
demographic_logistic,hba1c_pos,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.8647953737659104,0.7685919148756937,1.0,0.6770495463599076,0.6282577857627023,0.7175500627762281,0.19016477504739548,0.14318652380369232,0.2435291853894874,0.9827919068546942,0.9655990294607443,1.0
demographic_logistic,hba1c_pos,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.8971375071301775,0.8143638280607334,0.9874082154042434,0.6644311250133661,0.6130831848690327,0.7150494517295569,0.2582338576150216,0.2104641373436708,0.329243992479825,0.9802418083813956,0.9655192780615427,0.9975537131601075
demographic_logistic,hba1c_pos,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.8878099041226827,0.7632642608903469,0.954736274901757,0.6483559560948203,0.5731863385242855,0.7455458181346228,0.21003733147248224,0.12627203119920055,0.304976575215792,0.9821053414107608,0.9717512684952094,0.9918375251290168
demographic_logistic,hba1c_pos,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.8516680818709045,0.8017055472646343,0.9022472913455963,0.5843611065770723,0.5611792480594382,0.6094586680214682,0.16620913043352742,0.1480453230672818,0.18325446327983672,0.975901536559026,0.9688744247503416,0.9837511607192249
demographic_race_logistic,diagnosed,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.7823675066887834,0.6705328939116675,0.9170670965194001,0.5841067770274971,0.5375395707717182,0.6279768327676762,0.1443094859827326,0.11886589848858807,0.1708087459463304,0.9677926320658958,0.9498551517585323,0.9877116692995435
demographic_race_logistic,diagnosed,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.756499308358262,0.660756737326669,0.8716226702144482,0.654112083149104,0.6284769554658365,0.6771800452122171,0.2210575507841122,0.1836568038954171,0.2534377622291378,0.9543474255137177,0.9331661587279925,0.977851395525142
demographic_race_logistic,diagnosed,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.7389060659246993,0.6115139755516714,0.8687605098562833,0.6926062775583113,0.6209734392142937,0.7552165097164117,0.1867624689700739,0.14374519895437796,0.2391800160963191,0.9653083590198668,0.9428230699767669,0.9843584252712372
demographic_race_logistic,diagnosed,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.7985500759295637,0.6631813267911538,0.9837590708701107,0.7356673507542897,0.695341745679762,0.7748192823649604,0.21060544556805927,0.16721731796158265,0.26107838223114677,0.9766557964368594,0.954457711602549,0.9983795609034714
