group_name,respondents,weighted_population,hba1c_positive_respondents,weighted_hba1c_positive,hba1c_positive_share,diagnosed_among_positive,undiagnosed_among_positive,weighted_undiagnosed,undiagnosed_share
All groups,5873,253557804.59861416,711.0,22480162.314019553,0.08865892473554893,559.0,152.0,4245381.186690973,0.18885011270774404
Mexican American,856,25031700.615951777,112.0,2179448.791553469,0.0870675478662679,87.0,25.0,494559.48670783243,0.22691952599414827
Non-Hispanic Asian,796,14056291.962094521,102.0,1619475.6169355176,0.11521357277600261,73.0,29.0,448987.31445914303,0.27724240474132456
Non-Hispanic Black,1312,27992877.555296633,181.0,3215431.9899357394,0.11486607561455703,131.0,50.0,1036531.4105906709,0.32236147859292336
Non-Hispanic White,2022,155599626.50685892,203.0,12789945.012305334,0.08219778735613834,184.0,19.0,1643434.3889079508,0.12849424976626453
Other Hispanic,546,18123125.6700427,74.0,1460659.686289938,0.08059645520774543,54.0,20.0,459954.27064073406,0.3148948895885623
Other/Multiracial,341,12754182.288369155,39.0,1215201.2169995802,0.09527864582175145,30.0,9.0,161914.31538463972,0.13324074492323
