model,group,specificity_diagnosed,specificity_hba1c,cost,ci_low,ci_high
demographic_logistic,Non-Hispanic White,0.531384648920846,0.5219339957906188,0.009450653130227193,-0.0010895023620900027,0.02073953461643181
demographic_logistic,Non-Hispanic Black,0.658921975893583,0.651691838561365,0.007230137332218001,-0.008512045449609018,0.020611928768210698
demographic_logistic,Mexican American,0.7567724000106426,0.7580088873581408,-0.0012364873474981497,-0.01690910582616656,0.014819570770319406
demographic_logistic,Other Hispanic,0.6737883119484345,0.6770495463599076,-0.0032612344114730796,-0.026491640997503733,0.0214512566818298
demographic_logistic,Non-Hispanic Asian,0.6731666410322557,0.6644311250133661,0.008735516018889555,-0.0076863365792768975,0.02500080022827061
demographic_logistic,Other/Multiracial,0.6559137255950619,0.6483559560948203,0.007557769500241562,-0.006136128434264623,0.02255860418350332
demographic_logistic,All groups,0.591467130860994,0.5843611065770723,0.007106024283921708,-0.0030141821690039816,0.018115901276759026
demographic_race_logistic,Non-Hispanic White,0.5841067770274971,0.6034144315000642,-0.019307654472567104,-0.036867153711065734,-0.0011592339418198606
demographic_race_logistic,Non-Hispanic Black,0.654112083149104,0.5543584662469069,0.09975361690219708,0.08573691939655623,0.11215376071040599
demographic_race_logistic,Mexican American,0.6926062775583113,0.6400809668172245,0.052525310741086795,0.03315644448045823,0.06857808178922621
demographic_race_logistic,Other Hispanic,0.7356673507542897,0.6482996834730811,0.0873676672812086,0.05888766197063393,0.11048650492553046
demographic_race_logistic,Non-Hispanic Asian,0.6391893099389563,0.5485424691134312,0.0906468408255251,0.070068078123649,0.11436798312037877
demographic_race_logistic,Other/Multiracial,0.5648042997375976,0.5960956981548436,-0.03129139841724604,-0.08245730207536733,0.012875219134091773
demographic_race_logistic,All groups,0.6152725091564626,0.6016983292139892,0.013574179942473341,-0.005712747808117644,0.031759925256089463
extended_logistic,Non-Hispanic White,0.6247874508072426,0.6098129065587286,0.014974544248514077,-0.00014707037670850463,0.03242706558082092
extended_logistic,Non-Hispanic Black,0.701556001540319,0.6748442059786279,0.02671179556169112,0.014357483214867878,0.03905586968568876
extended_logistic,Mexican American,0.7733568791027648,0.7401597580558305,0.0331971210469344,-6.239902667768413e-05,0.0741788142447288
extended_logistic,Other Hispanic,0.7731902781019484,0.7573124594721522,0.015877818629796203,-0.005490807956883025,0.03491969867880042
extended_logistic,Non-Hispanic Asian,0.8136970254526583,0.8110377703121765,0.00265925514048182,-0.009544767581982787,0.017356091386578416
extended_logistic,Other/Multiracial,0.6923145441959054,0.7144460481909201,-0.022131503995014623,-0.10665267251798216,0.06358110328082092
extended_logistic,All groups,0.6719519409232029,0.6563673514126072,0.015584589510595714,0.0018659683371612785,0.031275433598686626
extended_boosting,Non-Hispanic White,0.6146161805359609,0.6458870741974456,-0.03127089366148472,-0.046479978176623804,-0.014307667138478121
extended_boosting,Non-Hispanic Black,0.6970539230743716,0.7035304155532274,-0.006476492478855733,-0.032715022526838916,0.02379826710961865
extended_boosting,Mexican American,0.7707579950592779,0.7752241150821709,-0.004466120022893039,-0.024657795171430883,0.009060659293113681
extended_boosting,Other Hispanic,0.7730619397066679,0.7686186750611782,0.0044432646454897196,-0.019544164353056902,0.025211288251411505
extended_boosting,Non-Hispanic Asian,0.8141151232450227,0.8319941561565342,-0.017879032911511494,-0.036743917742789706,-0.00045898943783897025
extended_boosting,Other/Multiracial,0.7266151852690433,0.7494577689682458,-0.022842583699202446,-0.07603711038225319,0.036921747593438414
extended_boosting,All groups,0.666652248607307,0.6888968102013272,-0.022244561594020218,-0.037068081301020406,-0.008403365800704167
