model,auc_diagnosed_label,auc_hba1c_label,difference,ci_low,ci_high,p_value_bootstrap,bootstrap_replicates
demographic_logistic,0.7575015909216523,0.7564329057711975,0.0010686851504547734,-0.0003965960450978328,0.0025114161443672398,0.156,500
demographic_race_logistic,0.7631450574651655,0.7647580855957488,-0.0016130281305832828,-0.010099896941679138,0.005415644629304583,0.692,500
extended_logistic,0.8187283882837453,0.8192847147629267,-0.0005563264791814682,-0.0056288679535892085,0.00403279835441027,0.864,500
extended_boosting,0.8110048050322124,0.8086430931363127,0.002361711895899732,-0.007710020105372239,0.013402057734721072,0.712,500
