group,reference,difference,se,ci_low,ci_high,df,t,p_value,p_value_holm,ratio,ratio_ci_low,ratio_ci_high,analysis_type
Non-Hispanic Black,Non-Hispanic White,0.19386722882665908,0.05801885629379871,0.07020296394534388,0.3175314937079743,15,3.3414520935218848,0.004462913237146402,0.02231456618573201,2.5087619031926356,1.3418864330161706,4.690327088831138,confirmatory
Mexican American,Non-Hispanic White,0.0984252762278838,0.07379144225766555,-0.05885745983841789,0.2557080122941855,15,1.3338304987209983,0.202159389973528,0.404318779947056,1.7659897342248605,0.7211471629874612,4.32466478612746,exploratory
Other Hispanic,Non-Hispanic White,0.1864006398222977,0.10718841141515531,-0.04206605097780938,0.4148673306224048,15,1.7389999288294575,0.10250948332859401,0.30752844998578205,2.4506535519010924,1.0023769190156329,5.991461612407474,exploratory
Non-Hispanic Asian,Non-Hispanic White,0.1487481549750601,0.05994605630028693,0.020976160515712772,0.27652014943440745,15,2.4813668180261614,0.025423044143556804,0.10169217657422722,2.1576249929132096,1.1086571036572863,4.1990851767300015,exploratory
Other/Multiracial,Non-Hispanic White,0.004746495156965486,0.05108828253549849,-0.10482697313375532,0.11431996344768629,14,0.09290770645240232,0.9272933371786252,0.9272933371786252,1.036939358497361,0.452236795020399,2.3776111210774387,exploratory
