model,label,mean,sd,min,max
demographic_logistic,diagnosed,0.08471227569967694,0.008865087976521645,0.06795809120316523,0.10443555689871109
demographic_logistic,hba1c_pos,0.06996565437043141,0.0024031936819977205,0.06716629411228672,0.07553134525240415
demographic_race_logistic,diagnosed,0.09429286918336077,0.014819839349362023,0.07498362042168008,0.11847735728217049
demographic_race_logistic,hba1c_pos,0.0745838793824377,0.011959967032024923,0.05813373748652163,0.10426645374533795
extended_logistic,diagnosed,0.09030965027481366,0.010736003345428536,0.07625259263916566,0.11352881424477092
extended_logistic,hba1c_pos,0.07562282735448837,0.012826952347587734,0.05661860909061882,0.09683924492863895
extended_boosting,diagnosed,0.0937039633792467,0.013085005916564786,0.07118272595465441,0.11746212916642608
extended_boosting,hba1c_pos,0.08556346924198642,0.01964003470667462,0.05531272280269537,0.11913930177809602
