model,group,gap_diagnosed,gap_diagnosed_ci_low,gap_diagnosed_ci_high,gap_hba1c_pos,gap_hba1c_pos_ci_low,gap_hba1c_pos_ci_high,gap_change,gap_change_ci_low,gap_change_ci_high
demographic_logistic,Non-Hispanic Black,0.11052717896753161,-0.03363559699350925,0.2583700213996754,0.10718835109936486,-0.019796281645854702,0.23651142495085278,0.0033388278681667494,-0.040299576449865704,0.04579836470001148
demographic_logistic,Mexican American,0.21011845266742168,0.07919406759420708,0.3460808371613411,0.21702354738998808,0.08882475918983025,0.3478365889596526,-0.006905094722566396,-0.03378116346165369,0.025021801732593652
demographic_logistic,Other Hispanic,0.02693271309725276,-0.1324191779004924,0.16790268392623328,0.024316995497280725,-0.12142994383476007,0.14968658959588158,0.002615717599972034,-0.03240953557201491,0.039895438698322024
demographic_logistic,Non-Hispanic Asian,-0.007058369725057578,-0.11317286420660712,0.10094675837813533,-0.008025137866986332,-0.118526967095879,0.09837359315356609,0.0009667681419287533,-0.027988261559310546,0.037498582639559054
demographic_logistic,Other/Multiracial,-0.00590545297841949,-0.10619231621243869,0.15085816323171095,0.0013024651405084686,-0.08038326047691696,0.13461937100818153,-0.007207918118927958,-0.03517445697743683,0.02561040546636776
demographic_race_logistic,Non-Hispanic Black,0.025868198330521452,-0.14203866349042182,0.19640088232399713,-0.1317015895413669,-0.2530237042874701,0.003224306294013233,0.15756978787188836,0.08249901936984158,0.23427812278051294
demographic_race_logistic,Mexican American,0.04346144076408409,-0.11395645635198381,0.22577497451592735,-0.037087936252445,-0.19167038006152964,0.1488228140138252,0.08054937701652909,0.010683076222211606,0.14484509615831567
demographic_race_logistic,Other Hispanic,-0.01618256924078032,-0.22282768901412706,0.17905934736301454,-0.12807192833428238,-0.3027868630814987,0.04716232846774571,0.11188935909350206,0.00821990966224381,0.2006026167492742
demographic_race_logistic,Non-Hispanic Asian,-0.12223447938528031,-0.23012532158830606,0.0008986418031312268,-0.21935278307156558,-0.31458735129014587,-0.09777528268911594,0.09711830368628527,0.04025255501310581,0.15081973782030914
demographic_race_logistic,Other/Multiracial,-0.12331851617668166,-0.24733810632159656,0.05655723841625769,-0.13896937994403513,-0.26819816634635635,0.055173537274447126,0.015650863767353473,-0.04090618480957358,0.06238267251534519
extended_logistic,Non-Hispanic Black,0.030602924071933324,-0.08088315191008641,0.16831538169627172,0.03130535765403042,-0.06996887674029482,0.17439299195644545,-0.0007024335820970951,-0.019248765242046623,0.019255365067100256
extended_logistic,Mexican American,0.1726772652196047,0.04406165898695035,0.3118135272908838,0.17119259765595973,0.0484089007145054,0.2994486021774022,0.0014846675636449591,-0.04933801843572126,0.05659767992210158
extended_logistic,Other Hispanic,0.09658546085873954,-0.07307803601290443,0.2929185502408168,0.045370846420470734,-0.10463337319565297,0.2082954283720058,0.0512146144382688,0.0017345329688956113,0.13220112674159165
extended_logistic,Non-Hispanic Asian,0.1631642581176005,0.05246914010990649,0.2885205645307108,0.1770378268967726,0.06561882068447436,0.31161612199341465,-0.013873568779172119,-0.07986092641841398,0.03096680643797815
extended_logistic,Other/Multiracial,-0.058037379884585905,-0.16744492724281332,0.10058820825302826,-0.043784388734799284,-0.13871311845141715,0.10913771847569642,-0.01425299114978662,-0.05655725230664128,0.023852005219597322
extended_boosting,Non-Hispanic Black,0.05415712616307422,-0.07210708580547359,0.20029399060325687,0.04266523577418824,-0.07085671524221208,0.17320595179628906,0.011491890388885984,-0.03256150034926233,0.05927466500631957
extended_boosting,Mexican American,0.1662883555014767,0.05716519926086315,0.2807457248013043,0.21731158285967267,0.0994855344299804,0.3388755500983725,-0.05102322735819598,-0.1509757817609123,0.05881152789040328
extended_boosting,Other Hispanic,0.03866827524551919,-0.13512813769588075,0.24197995971884578,0.08871788599148278,-0.049862938231351524,0.2643019898680883,-0.05004961074596359,-0.12360386108101744,0.021086657330124534
extended_boosting,Non-Hispanic Asian,0.18614418376596642,0.042095039791556946,0.33325117556556716,0.18578811413959984,0.06226462508285938,0.30467893637691446,0.0003560696263665841,-0.05322625766161359,0.057354433664529365
extended_boosting,Other/Multiracial,-0.041800448281871794,-0.14410040592600093,0.10886245929831395,-0.03225929410026984,-0.13461958665787896,0.1236734746702765,-0.009541154181601952,-0.0548401949596297,0.03813724978605866
