group,respondents,mean_age,crude_estimate,age_standardized_estimate,se,ci_low,ci_high,standard_bands,standard_shares,age_difference_vs_reference,age_mix_differs
Non-Hispanic White,203,61.82239571746085,0.1284942497662645,0.1384798270604203,0.03629113070155937,0.06064309304223066,0.21631656107860997,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",0.0,False
Non-Hispanic Black,181,56.64889429710181,0.3223614785929236,0.29152607468335295,0.0435185604859631,0.1945606792820639,0.388491470084642,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",-5.173501420359038,True
Mexican American,112,53.81721780358602,0.2269195259941483,0.19932149288442538,0.03907764448272536,0.1037019414848145,0.2949410442840363,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",-8.005177913874832,True
Other Hispanic,74,60.15824980322708,0.3148948895885622,0.3063965157143577,0.08369095146484755,0.11340483555724815,0.4993881958714673,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",-1.664145914233771,False
Non-Hispanic Asian,102,60.503811109429634,0.2772424047413246,0.3225327589095213,0.041215376597383835,0.23069917701364456,0.4143663408053981,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",-1.318584608031216,False
Other/Multiracial,39,60.903089386281465,0.13324074492323,0.14371808056224206,0.03144239566570102,0.07121178613640997,0.21622437498807415,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",-0.919306331179385,False
All groups,711,60.05349274491385,0.1888501127077438,0.18885011270774377,0.017837444768746505,0.15083049916145141,0.22686972625403612,"12-44, 45-64, 65-120","0.121, 0.472, 0.407",-1.7689029725470036,False
