group,respondents,weighted_denominator,effective_n_kish,effective_n_design,estimate,se,ci_low_logit,ci_high_logit,ci_low_wald,ci_high_wald,df,small_n_warning
Non-Hispanic White,203,12789945.012305334,104.60038045158237,116.85581383807848,0.1284942497662645,0.030956497160204773,0.07535225371020814,0.2105792134781157,0.06209916675249201,0.194889332780037,14,False
Non-Hispanic Black,181,3215431.9899357376,140.92246384845114,105.74212498517916,0.3223614785929236,0.04545132996695661,0.23031295325516335,0.43061657361251465,0.22108960441909953,0.42363335276674763,10,False
Mexican American,112,2179448.7915534684,70.72659750652981,73.80144804082558,0.2269195259941483,0.04875462770111236,0.1294497599704061,0.3668526766879644,0.1076212496741352,0.34621780231416144,6,False
Other Hispanic,74,1460659.6862899382,53.36908782768276,22.164814166486156,0.3148948895885622,0.09865733108409301,0.13801422194090324,0.5688633829549252,0.08739067614043725,0.5423991030366871,8,False
Non-Hispanic Asian,102,1619475.6169355172,88.86867277325152,87.671674887347,0.2772424047413246,0.047807552319763025,0.18395423197910438,0.3949433236528997,0.1707205399992941,0.3837642694833551,10,False
Other/Multiracial,39,1215201.2169995802,16.26993925564318,49.830456657017024,0.13324074492323,0.04814157962697504,0.05552097885209784,0.2867267759907287,0.022226063228164922,0.24425542661829505,8,True
All groups,711,22480162.314019576,271.01850179008557,535.7361750156542,0.1888501127077438,0.016909613999437658,0.1554103141948833,0.2275466590100687,0.15280812363305118,0.2248921017824364,15,False
