"group","estimate","se","df","ci_low_logit","ci_high_logit","ci_low_wald","ci_high_wald"
"All groups",0.188850112707744,0.0169096139994377,15,0.155410314195057,0.22754665901025,0.152808123633051,0.224892101782437
"Mexican American",0.226919525994148,0.0487546277011124,6,0.129449759975966,0.3668526766944,0.107621249674136,0.346217802314161
"Non-Hispanic Asian",0.277242404741325,0.047807552319763,10,0.183954231979987,0.394943323653473,0.170720539999294,0.383764269483355
"Non-Hispanic Black",0.322361478592923,0.0454513299669566,10,0.230312953258233,0.430616573615625,0.2210896044191,0.423633352766747
"Non-Hispanic White",0.128494249766265,0.0309564971602048,14,0.0753522539744796,0.210579213701611,0.062099166752492,0.194889332780037
"Other Hispanic",0.314894889588562,0.098657331084093,8,0.138014221951662,0.568863382959252,0.0873906761404373,0.542399103036687
"Other/Multiracial",0.13324074492323,0.048141579626975,8,0.0555209788652661,0.286726776012616,0.022226063228165,0.244255426618295
"Non-Hispanic Black minus Non-Hispanic White",0.193867228826659,0.0580188562937987,15,NA,NA,NA,NA
