analysis,cohort_respondents,hba1c_positive,comparison_estimate,reference_estimate,difference,ci_low,ci_high,ratio,p_value
Main analysis,5873,711,0.3223614785929236,0.1284942497662645,0.19386722882665908,0.07020296394534388,0.3175314937079743,2.5087619031926356,0.004462913237146402
Complete cases for extended covariates,4700,668,0.30077019672865574,0.13504263170888486,0.16572756501977087,0.051635940644741696,0.27981918939480005,2.2272240471219074,0.007375638041894914
Borderline answers counted as diagnosed,6041,751,0.30189142357467885,0.12142153628081294,0.18046988729386593,0.06432443035759712,0.29661534423013475,2.486308712784618,0.0047417499115345865
Borderline answers counted as not diagnosed,6041,751,0.36539173728335944,0.17646457126733608,0.18892716601602336,0.05323414661518175,0.324620185416865,2.070623778241622,0.009583400876601037
Adults 18 and older only,5096,706,0.32070801729966414,0.13032667213570742,0.19038134516395672,0.06939735802124333,0.3113653323066701,2.4608010934685356,0.0043489192049161254
